id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Echoes of the Past,Timeless Folk,folk,nostalgic,0.45,85,0.52,0.48,0.88
12,Urban Pulse,Street Vibes,hip-hop,energetic,0.88,95,0.75,0.92,0.12
13,Whispers in the Wind,Serenade Strings,classical,romantic,0.25,70,0.40,0.35,0.95
14,Desert Dreams,Cactus Groove,country,sad,0.55,110,0.30,0.65,0.60
15,Neon Nights,Electric Wave,electronic,upbeat,0.90,130,0.85,0.88,0.08
16,Island Rhythms,Tropical Echo,reggae,adventurous,0.70,100,0.78,0.80,0.25
17,Blue Horizon,Delta Blues,blues,melancholic,0.50,75,0.35,0.55,0.75
18,Forest Whispers,Nature's Call,folk,chill,0.30,65,0.60,0.45,0.90
19,Steel Thunder,Metal Forge,metal,intense,0.95,160,0.25,0.70,0.05
20,Starry Serenade,Celestial Choir,classical,relaxed,0.20,55,0.65,0.30,0.98
